,GlaThiDa_ID,POLITICAL_UNIT,GLACIER_NAME,GLACIER_DB,GLACIER_ID,LAT,LON,SURVEY_DATE,ELEVATION_DATE,AREA,MEAN_SLOPE,MEAN_THICKNESS,MEAN_THICKNESS_UNCERTAINTY,MAXIMUM_THICKNESS,MAX_THICKNESS_UNCERTAINTY,SURVEY_METHOD,SURVEY_METHOD_DETAILS,NUMBER_OF_SURVEY_POINTS,NUMBER_OF_SURVEY_PROFILES,TOTAL_LENGTH_OF_SURVEY_PROFILES,INTERPOLATION_METHOD,INVESTIGATOR,SPONSORING_AGENCY,REFERENCES,DATA_FLAG,REMARKS,RGIId,RGI Centroid Distance
23,24,US,PROUTY,,,44.1057,-121.7598,19819999.0,19819999.0,1.0,,17.0,,38.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13805,0.12891101430379992 km
24,25,US,REID,FOG,3567,45.37141,-121.71789,19819999.0,19819999.0,0.8,,24.0,,49.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13885,0.0 km
25,26,US,RUSSELL,WGI,US2M00541002,46.8978,-121.7889,19819999.0,19819999.0,3.3,,26.0,,73.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.14277,0.1636618822113303 km
26,27,US,SANDY,,,45.3797,-121.7167,19819999.0,19819999.0,1.2,,21.0,,61.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13924,0.2122045343756028 km
27,28,US,TAHOMA NORTH-L.,WGI,US2M00543002,46.83,-121.82,19819999.0,19819999.0,8.7,,52.0,,146.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.14361,1.031166069125945 km
28,29,US,WHITE RIVER,WGI,US2M10426010,45.3575,-121.6975,19819999.0,19819999.0,0.5,,16.0,,38.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13876,0.5337372805842855 km
29,30,US,WILSON,WGI,US2M00553002,46.8219,-121.7525,19819999.0,19819999.0,1.4,,38.0,,88.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.14379,0.3284980647262437 km
30,31,US,WINTHROP,WGI,US2M00532001,46.8761,-121.7419,19819999.0,19819999.0,9.2,,57.0,,98.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.14259,1.029475074780357 km
31,32,US,ZIGZAG,,,45.3633,-121.7122,19819999.0,19819999.0,0.8,,22.0,,62.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13875,0.46506347902079914 km
32,33,US,EASTON,FOG,1367,48.75,-121.83,19929999.0,,2.9,0.0,58.0,,107.0,,GPRt,,64.0,,,,,,"Bahr et al., (1997). JGR. and Harper, J.T., (1993). AAAR.",,"GPR data from Finn et al., (2012). Jour. Glac. based on Harper, J.T., (1993). AAAR.",RGI60-02.17739,0.049018487059343904 km
33,34,US,LEMON CREEK,FOG,3334,58.38,-134.36,,,11.7,0.0,66.0,,200.0,,SEI,,,,,,,,"Bahr et al., (1997). JGR. and Miller, M. M. and Pelto, M. S., (1999). Geogr. Ann.",,,RGI60-01.01104,0.6435562058081706 km
34,35,RU,PRAVIY AKTRU,WGI,SU5A15106127,50.06134,87.69741,,,5.15,0.0,56.0,,,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. based on Narozhniy (1998). MGI.",,,RGI60-10.01735,5.573499594145659e-05 km
35,36,RU,MALIY AKTRU,WGI,SU5A15106126,50.04967,87.74552,,,2.84,0.0,86.0,,,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. based on Narozhniy (1998). MGI.",,,RGI60-10.01732,0.0005657426686945749 km
36,37,RU,LEVIY AKTRU,WGI,SU5A15106128,50.08008,87.69025,,,5.95,0.0,90.0,,,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. based on Narozhniy (1998). MGI.",,,RGI60-10.01737,0.00032147973578409625 km
37,38,RU,NO. 125 (VODOPADNIY),FOG,780,50.0503,87.7886,,,0.75,0.0,55.0,,,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. based on Narozhniy (1998). MGI.",,,RGI60-10.01706,0.00021761406574806 km
38,39,KG,SUYOK ZAPADNIY,FOG,781,41.78681,77.74927,,,1.18,0.0,34.0,,,,GPRt,,,,,,,,"Bahr et al., (1997). JGR. based on Kuzmichenok (1996). MGI.",,,RGI60-13.06974,0.00047747446375025643 km
39,40,KG,NO.356 (SARY TOR),FOG,805,41.825132,78.176022,,,3.61,0.0,53.0,,,,GPRt,,,,,,,,"Bahr et al., (1997). JGR. based on Kuzmichenok (1996). MGI.",,,RGI60-13.08055,0.4877822492951185 km
40,41,KG,GOLUBIN,FOG,753,42.45448,74.49766,,,5.757,0.0,53.0,,,,GPRt,,,,,,,,"Bahr et al., (1997). JGR. based on Kuzmichenok (1996). MGI.",,,RGI60-13.11609,8.818739801059222e-05 km
41,42,KG,DAVIDOVA,FOG,804,41.8273,78.20493,,,11.32,0.0,61.0,,,,GPRt,,,,,,,,"Bahr et al., (1997). JGR. based on Kuzmichenok (1996). MGI.",,,RGI60-13.08056,0.0003878464054922904 km
42,43,KG,KARA-BATKAK,FOG,813,42.14031,78.2728,,,4.19,0.0,53.0,,,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. based on Zhuravlev, A.B., (1985). MGI.",,,RGI60-13.06361,0.0002734712282889144 km
43,44,KZ,TS.TUYUKSUYSKIY,FOG,817,43.05,77.08,,,2.72,0.0,104.0,,,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. based on Zhuravlev, A.B., (1985). MGI.",,,RGI60-13.08783,0.557301889428972 km
44,45,TJ,FEDCHENKO,,,38.767,72.283,,,824.0,0.0,175.0,,900.0,,,,,,,,,,"Bahr et al., (1997). JGR.",,LAT/LON: from wikipedia POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-13.13281,2.69079077747714 km
45,46,KG,ABRAMOV,FOG,732,39.6097,71.56986,,,22.5,0.0,110.0,,,,GPRt,,,,,,,,"Bahr et al., (1997). JGR. based on Zhuravlev, A.B., (1985). MGI.",,,RGI60-13.18096,0.00021963059984353951 km
46,47,RU,NO.31,FOG,3534,62.58879,140.86536,,,3.2,0.0,76.0,,,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. based on Zhuravlev, A.B., (1985). MGI.",,,RGI60-10.03264,0.0005556175650089877 km
47,48,KZ,KAVRAYSKOGO,WGI,SU5X13207002,45.23645,80.78166,19629999.0,,3.2,0.0,49.0,,116.0,,SEI,,,,,,,,"Bahr et al., (1997). JGR. based on Zhuravlev, A.B., (1985). MGI.",,LAT/LON: from FoG 2009 POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-13.05186,0.0003134784689594158 km
48,49,KZ,KRASOVSKOGO,WGI,SU5X13207003,45.23513,80.80835,19629999.0,,3.4,0.0,49.0,,139.0,,SEI,,,,,,,,"Bahr et al., (1997). JGR. based on Zhuravlev, A.B., (1985). MGI.",,LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-13.05197,4.6147792947027034e-05 km
49,50,KZ,214,WGI,SU5X13205214,44.92845,79.13669,19819999.0,19819999.0,1.0,0.0,52.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05603,0.0004909187017795502 km
50,51,KZ,252,WGI,SU5X13205252,44.883,79.285,19819999.0,19819999.0,2.0,0.0,43.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05579,0.320791558241322 km
51,52,KZ,KASKABULAKSKII,WGI,SU5X13205253,44.883,79.317,19819999.0,19819999.0,2.8,0.0,52.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05576,0.5063605633989123 km
52,53,KZ,259,WGI,SU5X13205259,44.917,79.317,19819999.0,19819999.0,1.2,0.0,47.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05585,0.16868317995099 km
53,54,KZ,AJUSAISKII,WGI,SU5X13205180,44.85772,79.45203,19819999.0,19819999.0,2.2,0.0,45.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05547,0.000294279074652386 km
54,55,KZ,183,WGI,SU5X13205183,44.83929,79.46103,19819999.0,19819999.0,1.6,0.0,49.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05544,0.00037580355328387696 km
55,56,KZ,KHEJERDALA,WGI,SU5X13206016,44.97,79.42,19819999.0,19819999.0,5.3,0.0,54.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05651,1.0637448706643018 km
56,57,KZ,KORJUNSKII,WGI,SU5X13205173,44.89076,79.48539,19819999.0,19819999.0,2.3,0.0,67.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05554,0.00048333448224201274 km
57,58,KZ,MGG,WGI,SU5X13206026,44.97,79.53,19819999.0,19819999.0,2.0,0.0,37.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05624,0.41044622119924007 km
58,59,KZ,EKSPEDITSIY,WGI,SU5X13206029,44.95518,79.54601,19819999.0,19819999.0,1.5,0.0,39.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05621,0.000520610150608072 km
59,60,KZ,RODINA,WGI,SU5X13206030,44.95315,79.56239,19819999.0,19819999.0,1.1,0.0,32.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05665,0.0003485019520284756 km
60,61,KZ,SHNITNIKOVA,WGI,SU5X13205142,44.933,79.667,19819999.0,19819999.0,2.9,,44.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05658,0.8357977424057708 km
61,62,KZ,36,WGI,SU5X13206036,44.95,79.63,19819999.0,19819999.0,2.9,,54.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05672,0.5478594449273447 km
62,63,KZ,40,WGI,SU5X13206040,44.96236,79.66344,19819999.0,19819999.0,2.0,,40.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05678,0.0002030865799245645 km
63,64,KZ,41,WGI,SU5X13206041,44.97,79.68,19819999.0,19819999.0,1.0,,37.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05655,0.47467273336849575 km
64,65,KZ,KARTAYGAN,WGI,SU5X13206049,44.99511,79.75732,19819999.0,19819999.0,1.5,0.0,58.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05702,0.00030115348727266045 km
65,66,KZ,ASHAR,WGI,SU5X13206053,45.0,79.82,19819999.0,19819999.0,1.7,0.0,51.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05710,0.41726479465787586 km
66,67,KZ,54,WGI,SU5X13206054,45.00802,79.83536,19819999.0,19819999.0,1.8,,59.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05711,0.00040912556300483967 km
67,68,KZ,MALIY USEKSIY,,,44.5841,79.4753,19819999.0,19819999.0,2.6,0.0,50.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05403,0.04550607800045675 km
68,69,KZ,DENISOV,,,44.5858,79.498,19819999.0,19819999.0,1.0,0.0,47.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05402,0.045360668123084126 km
69,70,KZ,SATILI,,,44.68684,79.55124,19819999.0,19819999.0,2.7,,36.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05432,0.00011422887959425334 km
70,71,KZ,305,,,44.7016,79.5927,19819999.0,19819999.0,1.0,0.0,47.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05393,0.23962869351687135 km
71,72,KZ,59,,,44.722,79.648,19819999.0,19819999.0,1.0,0.0,29.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05435,1.0362033682278724 km
72,73,KZ,KARABULAKSIY,FOG,749,44.7049,79.7181,19819999.0,19819999.0,1.5,1.0,31.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05385,0.18181051369798315 km
73,74,KZ,JUYTAS,,,44.685,79.7254,19819999.0,19819999.0,2.1,0.0,54.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05376,0.022947116923179474 km
74,75,KZ,261,,,44.679,79.7375,19819999.0,19819999.0,1.1,0.0,49.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05375,0.26632180865863897 km
75,76,KZ,KEREGETAS,,,44.6667,79.7391,19819999.0,19819999.0,1.7,0.0,25.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05381,0.46014698436233503 km
76,77,KZ,BOLSHOY KOKSAYSK,,,44.7404,79.961,19819999.0,19819999.0,2.8,0.0,48.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05314,0.5141778081146102 km
77,78,KZ,KAZANSKII,WGI,SU5X13205092,44.77608,79.93852,19819999.0,19819999.0,3.8,0.0,47.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05325,0.00047666445705730164 km
78,79,KZ,82,WGI,SU5X13205082,44.77695,79.82588,19819999.0,19819999.0,2.9,0.0,45.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on Katalog Lednikow USSR POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05345,0.00039325081503613623 km
79,80,KZ,93,,,44.582,80.29,19819999.0,19819999.0,0.8,0.0,40.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05203,0.29307710771751494 km
80,81,KZ,PANFILOVA,,,44.5821,80.2741,19819999.0,19819999.0,4.2,0.0,49.0,,,,GPRa,,,,,,,,"Macheret et al., (1988). MGI.",,"MEAN_SLOPE: based on Bahr et al., (1997). JGR.; LAT/LON: based on GoogleEarth POLITICAL_UNIT updated by spatial query with data from gadm.org.",RGI60-13.05204,0.5506694650025161 km
